I0507 12:04:17.597069       1 descheduler.go:169] "Number of evicted pods" totalEvicted=0
I0507 12:04:17.597049       1 profile.go:356] "Total number of pods evicted" extension point="Balance" evictedPods=0
I0507 12:04:17.597015       1 nodeutilization.go:269] "No removable pods on node, try next node" node="gke-dev-eu-west-3-main-n2s8-1-1dd39c-d1c92061-4z2l"
I0507 12:04:17.596999       1 nodeutilization.go:266] "Pods on node" node="gke-dev-eu-west-3-main-n2s8-1-1dd39c-d1c92061-4z2l" allPods=16 nonRemovablePods=16 removablePods=0
I0507 12:04:17.596973       1 defaultevictor.go:202] "Pod fails the following checks" pod="node-exporter/node-exporter-h82wd" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:04:17.596950       1 defaultevictor.go:202] "Pod fails the following checks" pod="promtail-ops/loki-canary-n5p56" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold]"
I0507 12:04:17.596932       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/calico-node-cnc6m" checks="[pod is a DaemonSet pod, pod has system critical priority, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:04:17.596875       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/konnectivity-agent-6f8f85c4fb-7bhvf" checks="[pod has system critical priority, pod has higher priority than specified priority class threshold]"
I0507 12:04:17.596860       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/calico-typha-7cc4789bc8-qhw5r" checks="[pod has system critical priority, pod has higher priority than specified priority class threshold]"
I0507 12:04:17.596847       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/pdcsi-node-7khn6" checks="[pod is a DaemonSet pod, pod has system critical priority, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:04:17.596827       1 defaultevictor.go:202] "Pod fails the following checks" pod="netfilter-exporter/netfilter-exporter-jkrhn" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:04:17.596803       1 defaultevictor.go:202] "Pod fails the following checks" pod="gadget/gadget-zjjts" checks="[pod is a DaemonSet pod, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:04:17.596779       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/ip-masq-agent-7pgw2" checks="[pod is a DaemonSet pod, pod has system critical priority, pod has higher priority than specified priority class threshold]"
I0507 12:04:17.596753       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/kube-proxy-gke-dev-eu-west-3-main-n2s8-1-1dd39c-d1c92061-4z2l" checks="[pod is a mirror pod, pod is a static pod, pod has system critical priority, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:04:17.596722       1 defaultevictor.go:202] "Pod fails the following checks" pod="startup/startup-sjjws" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold]"
I0507 12:04:17.596704       1 defaultevictor.go:202] "Pod fails the following checks" pod="goldpinger/goldpinger-rc2pp" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold]"
I0507 12:04:17.596685       1 defaultevictor.go:202] "Pod fails the following checks" pod="agent-logs/agent-lmlhl" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:04:17.596651       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/metrics-server-v0.6.3-68f5b7c4d5-t5mz8" checks="[pod has system critical priority, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:04:17.596620       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/node-local-dns-w6xfd" checks="[pod is a DaemonSet pod, pod has system critical priority, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:04:17.596581       1 defaultevictor.go:202] "Pod fails the following checks" pod="conntrack-exporter/conntrack-exporter-rhm24" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold]"
I0507 12:04:17.596547       1 nodeutilization.go:263] "Evicting pods from node" node="gke-dev-eu-west-3-main-n2s8-1-1dd39c-d1c92061-4z2l" usage={"cpu":"984m","memory":"611Mi","pods":"16"}
I0507 12:04:17.596528       1 nodeutilization.go:260] "Total capacity to be moved" CPU=5060 Mem=112216292800 Pods=163
I0507 12:04:17.596504       1 highnodeutilization.go:108] "Number of underutilized nodes" totalNumber=1
I0507 12:04:17.596484       1 highnodeutilization.go:107] "Criteria for a node below target utilization" CPU=50 Mem=50 Pods=100
I0507 12:04:17.596431       1 nodeutilization.go:204] "Node is underutilized" node="gke-dev-eu-west-3-main-n2s8-1-1dd39c-d1c92061-4z2l" usage={"cpu":"984m","memory":"611Mi","pods":"16"} usagePercentage={"cpu":12.44,"memory":2.15,"pods":25}
I0507 12:04:17.596411       1 nodeutilization.go:207] "Node is overutilized" node="gke-dev-eu-west-3-main-n2s8-1-1dd39c-d1c92061-nxkm" usage={"cpu":"7813m","memory":"23232Mi","pods":"64"} usagePercentage={"cpu":98.77,"memory":81.8,"pods":100}
I0507 12:04:17.596391       1 nodeutilization.go:207] "Node is overutilized" node="gke-dev-eu-west-3-main-n2s8-1-1dd39c-d1c92061-jwtb" usage={"cpu":"4681m","memory":"5668116096","pods":"32"} usagePercentage={"cpu":59.18,"memory":19.03,"pods":50}
I0507 12:04:17.596369       1 nodeutilization.go:207] "Node is overutilized" node="gke-dev-eu-west-3-main-n2s8-1-1dd39c-d1c92061-h5xd" usage={"cpu":"7452m","memory":"16073Mi","pods":"37"} usagePercentage={"cpu":94.21,"memory":56.6,"pods":57.81}
I0507 12:04:17.596354       1 nodeutilization.go:207] "Node is overutilized" node="gke-dev-eu-west-3-main-n2s8-1-1dd39c-d1c92061-mzxx" usage={"cpu":"7586m","memory":"10644Mi","pods":"54"} usagePercentage={"cpu":95.9,"memory":37.48,"pods":84.38}
